Schools,Ranking,
Independent Elementary,"10",
Independent Study Sojourner Truth,"1",
Infant and Preschool Program,"none",
International Community,"3",
Irvington High,"10",
J. Haley Durham Elementary,"7",
Jackson Avenue Elementary,"8",
James A. Graham Elementary,"4",
James Dougherty Elementary,"10",
James L. Bunker Elementary,"9",
James Leitch Elementary,"10",
James Logan High,"none",
Jefferson Elementary,"2",
Jefferson Elementary,"9",
Jensen Ranch Elementary,"10",
Joaquin Miller Elementary,"9",
Joe Michell,"7",
John Blacow Elementary,"6",
John F. Kennedy Elementary,"7",
John F. Kennedy High,"5",
John G. Mattos Elementary,"9",
John Gomes Elementary,"10",
John Green Elementary,"10",
John M. Horner Junior High,"10",
John Muir Elementary,"4",
John Muir Middle,"4",
Joseph Azevada Elementary,"7",
Joshua Chadbourne Elementary,"10",
Junction K-8,"4",
Kaiser Elementary,"7",
KIPP Bridge Charter,"9",
KIPP King Collegiate High,"9",
KIPP Summit Academy,"10",
La Escuelita Elementary,"5",
Lafayette Elementary,"1",
Laurel Elementary,"5",
Lazear Charter Academy,"2",
Leadership Public Schools - Hayward,"9",
Learning Without Limits,"1",
Leconte Elementary,"6",
Leo R. Croce Elementary,"8",
LIFE Academy,"2",
Lighthouse Community Charter High,"7",
Lighthouse Community Charter,"5",
Lincoln Elementary,"10",
Lincoln Elementary,"7",
Lincoln Middle,"9",
Livermore High,"7",
Livermore Valley Charter Preparatory Hig,"8",
Livermore Valley Charter,"9",
Longfellow Arts and Technology Middle,"7",
Longwood Elementary,"2",
Lorenzo Manor Elementary,"2",
Lorin A. Eden Elementary,"3",
Louis Milani Elementary,"4",
LPS Oakland R & D Campus,"4",
Lydiksen Elementary,"9",
Madison Elementary,"8",
Madison Park Academy 6-12,"1",
Madison Park Academy TK-5,"1",
Malcolm X Elementary,"9",
Manzanita Community,"1",
Manzanita SEED,"5",
Marin Elementary,"10",
Markham Elementary,"3",
Marshall Elementary,"8",
Martin Luther King Middle,"9",
Martin Luther King, Jr. Elementary,"1"
Martin Luther King, Jr. Middle,"5"
Marylin Avenue Elementary,"7",
Maya Lin,"4",
McClymonds High,"1",
McKinley Elementary,"4",
Melrose Leadership Academy,"1",
MetWest High,"2",
Millennium High Alternative,"none",
Mission San Jose Elementary,"10",
Mission San Jose High,"10",
Mission Valley Elementary,"10",
Monroe Elementary,"3",
Montclair Elementary,"10",
Montera Middle,"5",
Mountain House Elementary,"3",
Mt. Eden High,"3",
Murray Elementary,"8",
Nea Community Learning Center,"7",
New Highland Academy,"1",
Newark Junior High,"6",
Newark Memorial High,"6",
Niles Elementary,"10",
North Oakland Community Charter,"9",
O. N. Hirsch Elementary,"10",
Oakland Charter Academy,"10",
Oakland Charter High,"10",
Oakland Community Day Middle,"none",
Oakland High,"1",
Oakland International High,"1",
Oakland Military Institute, College Prep,"6"
Oakland School for the Arts,"9",
Oakland Technical High,"4",
Oakland Unity High,"4",
Ocean View Elementary,"8",
Oliveira Elementary,"9",
Oxford Elementary,"9",
Palma Ceia Elementary,"4",
Palomares Elementary,"10",
Park Elementary,"1",
Parker Elementary,"7",
Parkmont Elementary,"10",
Patterson Elementary,"8",
Peralta Elementary,"10",
Phoebe Apperson Hearst Elementary,"10",
Piedmont Avenue Elementary,"5",
Piedmont High,"10",
Piedmont Middle,"10",
Pioneer Elementary,"7",
Pleasanton Middle,"10",
Preparatory Literary Academy of Cultural,"1",
Proctor Elementary,"9",
Ralph J. Bunche High,"1",
Rancho Las Positas Elementary,"7",
Reach Academy,"1",
REALM Charter High,"1",
REALM Charter Middle,"3",
Redwood Continuation High,"none",
Redwood Heights Elementary,"7",
Rise Community,"1",
Roosevelt Elementary,"7",
Roosevelt Middle,"1",
ROOTS International Academy,"1",
Rosa Parks Environmental Science Magnet,"9",
Ruby Bridges Elementary,"5",
Rudsdale Continuation,"1",
Ruus Elementary,"1",
San Leandro High,"3",
San Lorenzo High,"2",
Sankofa Academy,"2",
Schafer Park Elementary,"1",
Searles Elementary,"3",
Sequoia Elementary,"6",
Skyline High,"1",
Southgate Elementary,"4",
Stanton Elementary,"9",
Steven Millard Elementary,"9",
Stonebrae Elementary,"6",
Strobridge Elementary,"1",
Sunol Glen Elementary,"10",
Sunset Elementary,"9",
Tennyson High,"1",
Think College Now,"7",
Thomas S. Hart Middle,"10",
Thornhill Elementary,"10",
Thornton Junior High,"9",
Thousand Oaks Elementary,"8",
Tom Kitayama Elementary,"6",
Tom Maloney Elementary,"8",
Treeview Elementary,"4",
Tyrrell Elementary,"1",
United for Success Academy,"1",
Urban Montessori Charter,"1",
Urban Promise Academy,"4",
Vallejo Mill Elementary,"7",
Valley View Elementary,"9",
Vannoy Elementary,"10",
Village High,"none",
Vincent Academy,"2",
Vineyard Alternative,"none",
Vintage Hills Elementary,"10",
Vista Alternative,"4",
Walnut Grove Elementary,"10",
Warm Springs Elementary,"10",
Warwick Elementary,"9",
Washington Elementary,"1",
Washington Elementary,"8",
Washington High,"7",
Washington Manor Middle,"5",
Wells Middle,"9",
West Oakland Middle,"1",
Westlake Middle,"1",
Wildwood Elementary,"10",
Will C. Wood Middle,"5",
Willard Middle,"7",
William G. Paden Elementary,"7",
William Hopkins Junior High,"10",
William Mendenhall Middle,"9",
Wilson Elementary,"4",
Winton Middle,"1",
World Academy,"2",
Yu Ming Charter,"10",
